UniProtKB:Q52NJ4	ARL3
UniProtKB:F1RYU8	PPEF2
UniProtKB:A0A286ZKG1	EIF2B1
UniProtKB:A0A286ZKD8	CPLX1
UniProtKB:A0A286ZKB2	DGAT1
UniProtKB:A0A286ZKA7	LOC100157391
UniProtKB:A0A286ZK90	PGAP2
UniProtKB:A0A286ZJU8	LYPLAL1
UniProtKB:A0A286ZK64	COQ8A
UniProtKB:A0A286ZK58	A0A286ZK58
UniProtKB:A0A286ZK37	CDC14B
UniProtKB:A0A286ZK30	TMEM241
UniProtKB:A0A286ZJP2	NUMBL
UniProtKB:A0A286ZK05	OAS2
UniProtKB:A0A286ZJI8	A0A286ZJI8
UniProtKB:A0A286ZJG5	GIGYF2
UniProtKB:A0A286ZJC2	CYP2C49
UniProtKB:A0A286ZIX2	BICDL1
UniProtKB:A0A286ZJ84	A0A286ZJ84
UniProtKB:A0A286ZJ67	DAPK2
UniProtKB:A0A286ZIU3	ORMDL3
UniProtKB:A0A286ZIS0	GMDS
UniProtKB:A0A286ZIR3	LOC100516797
UniProtKB:A0A286ZIR0	GIMAP1
UniProtKB:A0A286ZJ25	MRPS7
UniProtKB:A0A286ZJ05	ARFGAP1
UniProtKB:A0A286ZIM7	NDRG2
UniProtKB:A0A286ZIB3	LTN1
UniProtKB:A0A286ZI89	VPS50
UniProtKB:A0A286ZI87	GZMB
UniProtKB:A0A286ZI83	LOC100520329
UniProtKB:A0A286ZI35	FNIP1
UniProtKB:A0A286ZI25	PARP14
UniProtKB:A0A286ZI01	ATXN2
UniProtKB:F6QAE4	TPRKB
UniProtKB:M3VH47	CSNK1D
UniProtKB:M3VK37	CYP2S1
UniProtKB:M3VK02	AP3D1
UniProtKB:M3VH81	XPR1
UniProtKB:M3TYR7	NAPRT1
UniProtKB:Q7YS99	OPTN
UniProtKB:P01232	LHB
UniProtKB:B2CR16	OAZ2
UniProtKB:B2CR15	OAZ1
UniProtKB:D0V557	TOMM40
UniProtKB:P02587	TNNC2
UniProtKB:P34934	P34934
UniProtKB:B8XTR3	AGPAT5
UniProtKB:B8XTR1	AGPAT3
UniProtKB:B8XSK3	PFKFB1
UniProtKB:B8XSK1	MKNK1
UniProtKB:A0A287BBZ0	CES1
UniProtKB:V5PZZ6	ARRDC5
UniProtKB:A0A5G2QL25	CBR4
UniProtKB:P50130	DRD1
UniProtKB:A0A480QQS9	RAB31
UniProtKB:F1SG75	SSPN
UniProtKB:Q28944	CTSL
UniProtKB:P50129	HTR2A
UniProtKB:A0A287AT54	FLII
UniProtKB:P50121	RBP2
UniProtKB:F1SG69	BACE2
UniProtKB:F1SFU2	CTDNEP1
UniProtKB:Q1HBG9	cytb
UniProtKB:P50118	MOS
UniProtKB:F1SFT9	GPS2
UniProtKB:A0A480W8D2	SSR2
UniProtKB:F1SFT4	IVL
UniProtKB:I3LSM9	TAF4
UniProtKB:F1SG49	RIPK4
UniProtKB:F1SFS3	ADAMTS9
UniProtKB:Q3S3F7	SULT2A1
UniProtKB:F1SG41	ALDH1L2
UniProtKB:F1SFR7	KBTBD8
UniProtKB:F1SFR1	MYG1
UniProtKB:Q28997	ADRB2
UniProtKB:F1SG15	ARHGAP6
UniProtKB:F1SFP4	MAP3K12
UniProtKB:F1SG08	LOC100156421
UniProtKB:A0A5K1UZZ4	ANXA11
UniProtKB:F1SFN0	SHQ1
UniProtKB:I3LDH7	FTCD
UniProtKB:A0A480JTG0	FBXO4
UniProtKB:Q70KH2	GBA
UniProtKB:F1SFL7	TRNT1
UniProtKB:A0A287AZZ1	CASP3
UniProtKB:A0A5G2QVM0	METTL4
UniProtKB:F1SFL1	ARL8B
UniProtKB:I3LSU8	UBE2Z
UniProtKB:A0A287AZY0	MICU2
UniProtKB:F1SFK1	SENP2
UniProtKB:A0A5G2QKE9	PNPLA7
UniProtKB:F1SFF7	TRIM9
UniProtKB:F1SFJ8	DNAJB11
UniProtKB:A0A287AZX3	KLF9
UniProtKB:A0A287AP15	ELP4
UniProtKB:A0A480JTD7	MRPS16
UniProtKB:A0A287AP18	NRAP
UniProtKB:A0A5G2QKD0	XRCC5
UniProtKB:A0A287AZW3	BIRC3
UniProtKB:A0A480V562	CNOT7
UniProtKB:A0A5G2QKC9	PPA1
UniProtKB:A0A5G2QKC3	H6PD
UniProtKB:A0A287AZV6	B4GALNT3
UniProtKB:F1RG46	COG2
UniProtKB:A0A287AZV4	ADH5
UniProtKB:F1SFH8	BCL6
UniProtKB:A0A287AZV2	CEP55
UniProtKB:F1SFH5	P3H2
UniProtKB:P34935	HSPA5
UniProtKB:A0A480PNE7	RARA
UniProtKB:A0A287B0S6	MEAK7
UniProtKB:Q864V7	SMAD1
UniProtKB:A0A287AZS4	WWC2
UniProtKB:O46427	CTSH
UniProtKB:O46420	CYP51A1
UniProtKB:A0A287B0V4	NIN
UniProtKB:E7EDN1	GPR120
UniProtKB:A0A287A7U1	CHEK2
UniProtKB:A0A287AZQ1	CTNNA3
UniProtKB:A0A287AZP5	FAR2
UniProtKB:A0A480ENI7	STAMBP
UniProtKB:F1SFA7	COL1A2
UniProtKB:F1SFA6	CASD1
UniProtKB:Q9MZU4	RSAD2
UniProtKB:A0A5G2QJZ7	RIPOR1
UniProtKB:A0A5G2QJZ6	TDRP
UniProtKB:A0A5G2QJZ3	TUBE1
UniProtKB:F1SFP6	TMF1
UniProtKB:Q9MZS9	KMO
UniProtKB:I3LTC6	IMPA1
UniProtKB:A0A5G2QJX4	MRPL19
UniProtKB:A0A5G2QK90	CASP1
UniProtKB:A0A287AZL4	CISD3
UniProtKB:A0A287AZL2	MYH7B
UniProtKB:A0A5G2QJW7	DENND1C
UniProtKB:F1SG40	WASHC4
UniProtKB:A0A287AZJ1	DYNC1I1
UniProtKB:A0A5G2QW60	CACNA1S
UniProtKB:A0A480JST9	ELP1
UniProtKB:A0A287B431	MITF
UniProtKB:A0A5G2QK59	NFE2L2
UniProtKB:A0A5G2QK51	NTMT1
UniProtKB:A0A287AZH5	CLN3
UniProtKB:F1SFV6	S100A3
UniProtKB:A0A5G2QVV0	CCT5
UniProtKB:A0A5G2R7V5	MPP4
UniProtKB:A0A5G2QW79	ARHGEF11
UniProtKB:F1SEX9	WDR83
UniProtKB:A0A287AZG4	LDLRAD4
UniProtKB:A0A287AZG0	ARHGAP1
UniProtKB:A0A287B3S4	PUS1
UniProtKB:A0A5G2QJR4	SCOC
UniProtKB:A0A287B3S7	PIM3
UniProtKB:A0A287B1C9	GANAB
UniProtKB:A0A5G2RN51	ATP5F1D
UniProtKB:A0A5G2QK21	ST6GALNAC5
UniProtKB:A0A287AZE8	TOX3
UniProtKB:A0A287B1D0	C1H9orf135
UniProtKB:A0A5G2QJP4	MRI1
UniProtKB:A0A5G2QJP3	DNAJB6
UniProtKB:A0A5G2QK10	PFDN5
UniProtKB:A0A287B1E1	MCF2L
UniProtKB:F1SEU3	DLC1
UniProtKB:A0A5G2QW92	SNRPD2
UniProtKB:A0A5G2QK01	ADPGK
UniProtKB:A0A287AZB6	SGMS1
UniProtKB:F1SES5	ASAH1
UniProtKB:F1SF43	GJA1
UniProtKB:F1SF40	MAN1A1
UniProtKB:B5ACE1	SLC30A4
UniProtKB:A0A5G2QJM6	EMC8
UniProtKB:A0A287BNN9	IKZF3
UniProtKB:A0A5H1ZRV6	NTAN1
UniProtKB:A0A287AZA2	FASTKD3
UniProtKB:A0A287ASP9	FTO
UniProtKB:A0A5G2QJL5	FERMT2
UniProtKB:A0A287ARV5	URM1
UniProtKB:F1SEQ3	GHITM
UniProtKB:F1SF19	VGLL2
UniProtKB:B0LXP5	MAP3K7
UniProtKB:F1S567	VCAM1
UniProtKB:F1SF06	AVPR1B
UniProtKB:F1RT69	FAM110B
UniProtKB:I3LU36	USP25
UniProtKB:A0A5G2QJI6	TNNI3
UniProtKB:Q29381	DDOST
UniProtKB:A0A287APL8	BET1
UniProtKB:A0A5G2QJH9	PARVA
UniProtKB:A0A5G2QJH1	PSMC5
UniProtKB:F1RJV5	PDLIM4
UniProtKB:A0A5G2QJG4	FUT1
UniProtKB:Q29361	RPL35
UniProtKB:A0A287AYZ0	STRN3
UniProtKB:A0A5G2QJF8	IDH3G
UniProtKB:A0A5G2QJE4	EPS8L2
