UniProtKB:A0A287B0H3	A0A287B0H3
UniProtKB:I3LUM0	LOC100157285
UniProtKB:A0A5G2QKL7	A0A5G2QKL7
UniProtKB:A0A287B0I5	CA14
UniProtKB:F1SG22	GPR143
UniProtKB:Q28997	ADRB2
UniProtKB:A0A5G2QKK4	OR51B5
UniProtKB:A0A287B0J5	A0A287B0J5
UniProtKB:F1SFP4	MAP3K12
UniProtKB:A0A5G2QKJ9	SERINC1
UniProtKB:A0A5G2QVK6	AGTRAP
UniProtKB:F1SG08	LOC100156421
UniProtKB:F1SG04	SIT1
UniProtKB:A0A5G2QKI2	TMEM184A
UniProtKB:A0A287ARH7	OR5D18
UniProtKB:F1SFB4	LOC100522147
UniProtKB:F1SFE8	GPR137C
UniProtKB:A0A5G2QKH7	LOC100623415
UniProtKB:A0A5G2QKH6	A0A5G2QKH6
UniProtKB:I3LDH7	FTCD
UniProtKB:Q70KH2	GBA
UniProtKB:F1SFL9	IL5RA
UniProtKB:F1SFL1	ARL8B
UniProtKB:A0A287AZY0	MICU2
UniProtKB:F1SFK2	LIPH
UniProtKB:A0A5G2QKE9	PNPLA7
UniProtKB:A0A5G2QKE7	A0A5G2QKE7
UniProtKB:A0A5G2QKE1	CATSPERE
UniProtKB:A0A5G2QKE0	LOC100519082
UniProtKB:A0A287AZX3	KLF9
UniProtKB:A0A5G2QKD1	RTN4RL1
UniProtKB:A0A5G2QKD0	XRCC5
UniProtKB:A0A287AZW5	A0A287AZW5
UniProtKB:A0A287AP23	BAG4
UniProtKB:A0A287AZW3	BIRC3
UniProtKB:I3LSX8	CDH16
UniProtKB:A0A5G2QKC8	LOC100625711
UniProtKB:A0A287AZV6	B4GALNT3
UniProtKB:F1RG46	COG2
UniProtKB:A0A287AZV2	CEP55
UniProtKB:A0A287AP38	LOC110258293
UniProtKB:A0A287AP39	TMEM39B
UniProtKB:F1SFH9	RTP2
UniProtKB:A0A5G2QKB1	A0A5G2QKB1
UniProtKB:A0A287AP42	LOC100525388
UniProtKB:F1SFG8	ATP13A4
UniProtKB:A0A287B0S6	MEAK7
UniProtKB:F1SFG3	TMEM44
UniProtKB:A0A5G2QKA9	A0A5G2QKA9
UniProtKB:A0A5G2QKA3	A0A5G2QKA3
UniProtKB:A0A287AZT7	SLC22A23
UniProtKB:A0A287B0T4	TMEM255B
UniProtKB:A0A480W7U2	PLXNA4
UniProtKB:A0A480VW61	MFSD10
UniProtKB:F1SFF0	PTGER2
UniProtKB:A0A5G2QVP5	A0A5G2QVP5
UniProtKB:A0A5G2QW17	A0A5G2QW17
UniProtKB:A0A287BNE7	RTN4RL2
UniProtKB:Q864V7	SMAD1
UniProtKB:A0A287AZS9	ZDHHC3
UniProtKB:A0A287AZS6	LOC110259704
UniProtKB:O46420	CYP51A1
UniProtKB:A0A287B0V4	NIN
UniProtKB:F1SFC0	C6H1orf210
UniProtKB:A0A287AZP5	FAR2
UniProtKB:F1SFB6	LOC100521802
UniProtKB:F1SFB3	LOC100737941
UniProtKB:F1SFB2	LOC100737983
UniProtKB:A0A480ENI7	STAMBP
UniProtKB:A0A5G2QVR4	A0A5G2QVR4
UniProtKB:F1SFA6	CASD1
UniProtKB:F1SFA2	PON2
UniProtKB:F1SFA0	LOC100523256
UniProtKB:Q9MZU4	RSAD2
UniProtKB:A0A5G2QJZ7	RIPOR1
UniProtKB:A0A5G2QJZ6	TDRP
UniProtKB:A0A287B0Z2	LOC110259048
UniProtKB:I3LV70	LOC106505329
UniProtKB:I3LV71	ICOS
UniProtKB:A0A287A880	A0A287A880
UniProtKB:A0A5G2QW47	A0A5G2QW47
UniProtKB:Q863Z5	IL4R
UniProtKB:Q9MZS9	KMO
UniProtKB:Q863Y7	SLC52A2
UniProtKB:A0A287AZL0	LOC100524668
UniProtKB:A0A5G2QJW8	A0A5G2QJW8
UniProtKB:A0A5G2QJW0	LOC110262283
UniProtKB:A0A287AZK5	LOC100155959
UniProtKB:A0A5G2QK77	A0A5G2QK77
UniProtKB:A0A287AZJ3	LOC100627384
UniProtKB:A0A5G2QW60	CACNA1S
UniProtKB:A0A5G2QJU6	A0A5G2QJU6
UniProtKB:A0A5G2QK63	RFNG
UniProtKB:A0A287AZI5	LOC110256349
UniProtKB:A0A5G2QK59	NFE2L2
UniProtKB:A0A5G2QJT7	A0A5G2QJT7
UniProtKB:A0A5G2QJT4	LOC100512207
UniProtKB:A0A5G2QK52	A0A5G2QK52
UniProtKB:A0A287AZH5	CLN3
UniProtKB:F1SFV6	S100A3
UniProtKB:A0A287AZH2	LOC100739205
UniProtKB:I3LIF1	EMP3
UniProtKB:A0A5G2QJS8	A0A5G2QJS8
UniProtKB:A0A5G2R7V5	MPP4
UniProtKB:A0A287BNK5	VSIG10L
UniProtKB:A0A5G2QW79	ARHGEF11
UniProtKB:A0A287AZG7	LOC110258244
UniProtKB:A0A287B1B1	SEC61G
UniProtKB:A0A287AZG4	LDLRAD4
UniProtKB:Q863T6	SLC22A1
UniProtKB:A0A287AZG0	ARHGAP1
UniProtKB:A0A5G2QK37	GPR83
UniProtKB:A0A5G2QK35	HTRA1
UniProtKB:A0A5G2QJR4	SCOC
UniProtKB:A0A287ARS8	LOC100153913
UniProtKB:A0A287AZF9	CYC1
UniProtKB:A0A287AZF5	A0A287AZF5
UniProtKB:A0A287AZF2	COL4A4
UniProtKB:A0A5G2RN51	ATP5F1D
UniProtKB:A0A5G2QJQ5	A0A5G2QJQ5
UniProtKB:A0A5G2QK24	SLC19A2
UniProtKB:A0A5G2QK22	A0A5G2QK22
UniProtKB:A0A5G2QK21	ST6GALNAC5
UniProtKB:F1SEV7	GSDMD
UniProtKB:A0A5G2QJP6	A0A5G2QJP6
UniProtKB:F1SEU3	DLC1
UniProtKB:F1SEU0	MSR1
UniProtKB:A0A5G2QVX9	A0A5G2QVX9
UniProtKB:A0A287AZC3	A0A287AZC3
UniProtKB:Q07717	B2M
UniProtKB:A0A5G2QJN0	SLC4A5
UniProtKB:A0A287AZB9	NOXA1
UniProtKB:Q1RLJ7	DEFB114
UniProtKB:A0A287AZB6	SGMS1
UniProtKB:A0A287AZB3	TMIGD2
UniProtKB:F1SF46	G0S2
UniProtKB:F1SF43	GJA1
UniProtKB:F1SF40	MAN1A1
UniProtKB:A0A5G2QJM8	A0A5G2QJM8
UniProtKB:B5ACE1	SLC30A4
UniProtKB:A0A5G2QJM6	EMC8
UniProtKB:A0A5G2QJM4	TMEM225B
UniProtKB:F1S554	PALMD
UniProtKB:A0A287ASP2	SLCO3A1
UniProtKB:F1SF35	SLC35F1
UniProtKB:A0A287ARV3	GPR182
UniProtKB:A0A287ASP9	FTO
UniProtKB:A0A5G2QJL5	FERMT2
UniProtKB:F1SEQ3	GHITM
UniProtKB:F1SEQ1	LRIT2
UniProtKB:F1SF20	DCBLD1
UniProtKB:I3LU18	TMEM181
UniProtKB:A0A5G2QJK1	A0A5G2QJK1
UniProtKB:F1SEP5	GRID1
UniProtKB:A0A5G2QJJ9	OR2M4
UniProtKB:A0A5G2QJJ5	UBAC2
UniProtKB:B0LXP5	MAP3K7
UniProtKB:F1S567	VCAM1
UniProtKB:A0A287BNP4	LOC110258605
UniProtKB:A0A5G2QJI4	LOC100624006
UniProtKB:Q29381	DDOST
UniProtKB:Q29380	VDAC3
UniProtKB:A0A287APL8	BET1
UniProtKB:A0A5G2QJH9	PARVA
UniProtKB:I3LU57	TENM3
UniProtKB:A0A5G2QJG7	A0A5G2QJG7
UniProtKB:A0A5G2QJG4	FUT1
UniProtKB:A0A5G2QJG3	CLDN3
UniProtKB:A0A5G2QJG2	LOC110259616
UniProtKB:A0A287AYZ9	HJV
UniProtKB:Q29361	RPL35
UniProtKB:A0A287AYZ0	STRN3
UniProtKB:A0A287B4R5	ITPK1
UniProtKB:F1SEL2	FRMPD2
UniProtKB:A0A287ASR6	ADAM33
UniProtKB:A0A5G2QJF9	LOC100737069
UniProtKB:A0A5G2QJF7	A0A5G2QJF7
UniProtKB:A0A5G2QJF5	LOC110256238
UniProtKB:F1SG79	TM7SF3
UniProtKB:A0A5G2QJE4	EPS8L2
UniProtKB:A0A287AZ94	YTHDC1
UniProtKB:A0A287AZ92	PLPPR2
UniProtKB:A0A5K1UYV7	ATRN
UniProtKB:A0A5G2QJD8	A0A5G2QJD8
UniProtKB:A0A287AYW9	LOC110258223
UniProtKB:A0A287AYW8	SERPINE2
UniProtKB:A0A287AQ20	CFI
UniProtKB:F1S586	QTRT1
UniProtKB:A0A286ZR17	LOC100152428
UniProtKB:A0A480JSC9	CDC42BPB
UniProtKB:A0A287AQ29	BRIP1
