Gene stable ID	Gene name
ENSSSCG00000002298	ZFYVE26
ENSSSCG00000034265	DESI1
ENSSSCG00000007558	INTS1
ENSSSCG00000013879	SLC27A1
ENSSSCG00000009817	P2RX7
ENSSSCG00000004113	STXBP5
ENSSSCG00000008826	FRYL
ENSSSCG00000016073	PGAP1
ENSSSCG00000036856	
ENSSSCG00000037867	TAL2
ENSSSCG00000035493	SACS
ENSSSCG00000042072	
ENSSSCG00000045423	
ENSSSCG00000016963	CCDC125
ENSSSCG00000042200	
ENSSSCG00000039896	TMEM38B
ENSSSCG00000038366	RAP2B
ENSSSCG00000022175	MYH15
ENSSSCG00000017306	ITGB3
ENSSSCG00000041984	
ENSSSCG00000017772	SDF2
ENSSSCG00000000061	PMM1
ENSSSCG00000038879	RELB
ENSSSCG00000004454	ME1
ENSSSCG00000042052	
ENSSSCG00000003664	
ENSSSCG00000033966	
ENSSSCG00000012284	ZNF182
ENSSSCG00000035585	
ENSSSCG00000015616	HSD11B1
ENSSSCG00000008398	PPP4R3B
ENSSSCG00000046524	PRR9
ENSSSCG00000033331	
ENSSSCG00000032675	
ENSSSCG00000044933	
ENSSSCG00000000062	CSDC2
ENSSSCG00000007942	HMOX2
ENSSSCG00000051349	
ENSSSCG00000002191	
ENSSSCG00000012285	SPACA5
ENSSSCG00000014072	ENC1
ENSSSCG00000015253	NTM
ENSSSCG00000017773	SUPT6H
ENSSSCG00000045235	
ENSSSCG00000034750	
ENSSSCG00000028203	
ENSSSCG00000001679	XPO5
ENSSSCG00000007356	PLCG1
ENSSSCG00000003366	CHD5
ENSSSCG00000009283	TNFRSF19
ENSSSCG00000005430	
ENSSSCG00000041680	
ENSSSCG00000012286	ZNF630
ENSSSCG00000000063	POLR3H
ENSSSCG00000015618	LAMB3
ENSSSCG00000038131	KRTAP11-1
ENSSSCG00000012666	
ENSSSCG00000037053	AK6
ENSSSCG00000011721	P2RY1
ENSSSCG00000047233	
ENSSSCG00000040264	CLASRP
ENSSSCG00000023483	PLXNA3
ENSSSCG00000024232	CCDC91
ENSSSCG00000004918	ALPK2
ENSSSCG00000003941	SZT2
ENSSSCG00000034386	ATP2A2
ENSSSCG00000047914	
ENSSSCG00000014073	HEXB
ENSSSCG00000045014	
ENSSSCG00000012665	
ENSSSCG00000037514	
ENSSSCG00000039778	
ENSSSCG00000049799	
ENSSSCG00000032557	LDHB
ENSSSCG00000017307	MYL4
ENSSSCG00000001683	POLH
ENSSSCG00000012661	GPR119
ENSSSCG00000036437	NOG
ENSSSCG00000027275	HHLA2
ENSSSCG00000009234	ABRAXAS1
ENSSSCG00000048930	
ENSSSCG00000037812	
ENSSSCG00000031592	ZNF462
ENSSSCG00000046293	
ENSSSCG00000034984	PSMB4
ENSSSCG00000043332	
ENSSSCG00000038615	TAF9
ENSSSCG00000041891	
ENSSSCG00000029129	RWDD2A
ENSSSCG00000008400	CFAP36
ENSSSCG00000041060	
ENSSSCG00000000064	ACO2
ENSSSCG00000022874	DNAJA3
ENSSSCG00000046253	
ENSSSCG00000025981	SLC38A5
ENSSSCG00000051169	
ENSSSCG00000031436	
ENSSSCG00000043897	
ENSSSCG00000038270	
ENSSSCG00000017308	CDC27
ENSSSCG00000043336	
ENSSSCG00000040328	NXNL1
ENSSSCG00000002668	CIBAR2
ENSSSCG00000038042	MRPS18C
ENSSSCG00000049232	
ENSSSCG00000032566	ZHX3
ENSSSCG00000032959	
ENSSSCG00000007559	MAFK
ENSSSCG00000004456	PGM3
ENSSSCG00000015619	CAMK1G
ENSSSCG00000011941	IFT57
ENSSSCG00000016960	RAD17
ENSSSCG00000012648	ACTRT1
ENSSSCG00000044152	
ENSSSCG00000031166	ZNF296
ENSSSCG00000011640	TF
ENSSSCG00000049630	DEPTOR
ENSSSCG00000009290	MIPEP
ENSSSCG00000025492	NUDT13
ENSSSCG00000025441	SPACA4
ENSSSCG00000051528	
ENSSSCG00000049702	
ENSSSCG00000032751	
ENSSSCG00000016395	RIF1
ENSSSCG00000001689	GTPBP2
ENSSSCG00000034311	
ENSSSCG00000007560	TMEM184A
ENSSSCG00000002666	KIAA0513
ENSSSCG00000033194	GEMIN7
ENSSSCG00000045838	
ENSSSCG00000017770	PROCA1
ENSSSCG00000038996	
ENSSSCG00000050589	
ENSSSCG00000036568	MVB12A
ENSSSCG00000041772	OR4B1
ENSSSCG00000030222	ANAPC7
ENSSSCG00000008406	CCDC88A
ENSSSCG00000025766	SLC10A3
ENSSSCG00000041209	
ENSSSCG00000005436	RAD23B
ENSSSCG00000007944	
ENSSSCG00000044120	
ENSSSCG00000006624	SELENBP1
ENSSSCG00000041140	
ENSSSCG00000011942	CD47
ENSSSCG00000007359	LPIN3
ENSSSCG00000045606	
ENSSSCG00000037056	PPP1R37
ENSSSCG00000009236	HELQ
ENSSSCG00000003667	TRIT1
ENSSSCG00000035082	PHF5A
ENSSSCG00000023709	PTPRJ
ENSSSCG00000047247	DSCC1
ENSSSCG00000007556	PSMG3
ENSSSCG00000016346	MAD2L1BP
ENSSSCG00000025599	FTSJ1
ENSSSCG00000002667	ZDHHC7
ENSSSCG00000035833	NKPD1
ENSSSCG00000001691	RSPH9
ENSSSCG00000014074	GFM2
ENSSSCG00000044692	
ENSSSCG00000011639	SRPRB
ENSSSCG00000016959	MARVELD2
ENSSSCG00000037534	OPCML
ENSSSCG00000033453	BST2
ENSSSCG00000017769	RAB34
ENSSSCG00000050412	
ENSSSCG00000014467	
ENSSSCG00000031221	FEZF1
ENSSSCG00000005437	KLF4
ENSSSCG00000035374	
ENSSSCG00000007358	EMILIN3
ENSSSCG00000015620	
ENSSSCG00000045161	
ENSSSCG00000010295	ECD
ENSSSCG00000049526	
ENSSSCG00000009821	ARPC3
ENSSSCG00000017310	KANSL1
ENSSSCG00000001692	MRPS18A
ENSSSCG00000003943	MED8
ENSSSCG00000043358	TMEM271
ENSSSCG00000041467	CCDC194
ENSSSCG00000048973	
ENSSSCG00000038766	MAD1L1
ENSSSCG00000031784	
ENSSSCG00000037958	TOB2
ENSSSCG00000004457	DOP1A
ENSSSCG00000023716	TNFAIP6
ENSSSCG00000035706	
ENSSSCG00000036503	RAB6B
ENSSSCG00000043893	
ENSSSCG00000025561	VASN
ENSSSCG00000011237	PDCD6IP
ENSSSCG00000039428	
ENSSSCG00000036893	PTHLH
ENSSSCG00000048884	
ENSSSCG00000037025	PLVAP
ENSSSCG00000004919	NEDD4L
ENSSSCG00000028934	FAM3A
ENSSSCG00000035152	TEF
ENSSSCG00000003369	RPL22
ENSSSCG00000022011	NMI
ENSSSCG00000006001	ENPP2
ENSSSCG00000046159	
ENSSSCG00000045081	
ENSSSCG00000042405	
ENSSSCG00000015469	
ENSSSCG00000016613	AASS
ENSSSCG00000046029	
ENSSSCG00000026412	PLXNA2
ENSSSCG00000002669	CRISPLD2
ENSSSCG00000043354	
ENSSSCG00000021514	OCLN
ENSSSCG00000013223	NUP160
ENSSSCG00000007947	PAM16
ENSSSCG00000009820	GPN3
ENSSSCG00000040410	EXOC3L2
ENSSSCG00000007360	CHD6
ENSSSCG00000025612	SPATA19
ENSSSCG00000042726	
ENSSSCG00000050088	OR10J5
ENSSSCG00000024793	PORCN
ENSSSCG00000039761	MYCL
ENSSSCG00000035238	ELOVL1
ENSSSCG00000008767	
ENSSSCG00000050475	
ENSSSCG00000033036	ZC3H7B
ENSSSCG00000039690	
ENSSSCG00000016074	ANKRD44
ENSSSCG00000039946	CD34
ENSSSCG00000026898	FAM149B1
ENSSSCG00000038440	GTPBP3
ENSSSCG00000033221	
ENSSSCG00000000545	KLHL42
